institution_name,study_period_start_date,credential,program_length, total_estimated_cost ,student_status,Comments
Douglas College,01-01-2020,Academic Foundations ,1," $2,889.04 ", Attending ,
Thompson Rivers University,,Bachelor of Arts,,,,
Kwantlen Polytechnic University,01-09-2020,Bachelor of Arts in Sociology,4," $23,500.00 ", Never Attended , std has asked if possible to wait till fall 2021 due to covid and online learning 
Thompson Rivers University,01-09-2019,Undeclared,4," $24,100.00 ", Hiatus ,
Camosun College,04-09-2018,Associate of Arts Degree,2,, Hiatus ,
Okanagan College,10-05-2021,Associate of Science,2," $9,772.00 ",,
University of the Fraser Valley,04-09-2019,Bachelor of Integrated Studies,4," $23,765.00 ", Attending ,
Okanagan College,06-01-2020,,,,,
Nicola Valley Institute of Technology,01-09-2019,,,, Never Attended ,
Camosun College,08-09-2020,Indigenous family support,1,, Hiatus ,
Vancouver Community College,01-01-2020,Esthetics Program,1," $12,017.00 ", Hiatus , Withdrew 
Kwantlen Polytechnic University,03-09-2019,Accounting, 4 ," $23,500.00 ", Attending ,
BCIT,,Welder Foundation,,, Completed  ,
University of the Fraser Valley,,Bachelor of Arts in Criminal Justice,4," $23,765.00 ", Attending ,
Justice Insitute of British Columbia,01-06-2020,Emergency Medical Responder,,, Hiatus ,
College of New Caledonia,04-05-2020,,,, Never Attended ,
College of New Caledonia,04-05-2020,,,, Never Attended ,
Native Education College,03-09-2019,Family and Community Counselling Certificate,1," $6,551.00 ", Hiatus ,
Capilano University,03-09-2019,Art and Entertainment Management,2," $13,460.92 ", Hiatus ,
Emily Carr University of Art & Design,01-10-2020,Cross Disciplinary Certificate, 1 ,, Hiatus , Student appears to have abandoned program; no longer attending 
Douglas College,06-01-2020,General Studies,2," $12,000.00 ", Hiatus ,
BCIT,07-09-2021,Construction Operations,1," $4,365.00 ", Never Attended ,
Okanagan College,06-01-2020,,,,, Not registered for anything 
Vancouver Community College,01-11-2019,Heavy Duty Commercial  Foundation,," $4,927.00 ", Completed  ,
Douglas College,,Associate of Arts in Psychology Pre-Bachelor ,2," $12,000.00 ", Attending ,
University of the Fraser Valley,06-09-2022,Nursing Unit Clerk, 1 ," $9,053.59 ", Attending ,
University of the Fraser Valley,04-09-2019,Bachelor of Arts,4," $21,609.00 ", Attending ,
Vancouver Island University,01-01-2020,Adult Basic Education,,, Hiatus ,
Kwantlen Polytechnic University,03-01-2020,Bachelor of Arts,4," $23,500.00 ", Hiatus , credit multi pass 
Okanagan College,05-01-2022,Associate of Sciemce,2," $10,452.00 ",,
Thompson Rivers University,24-08-2020,Bachelor of Arts,1," $15,725.36 ", Attending ,
College of New Caledonia,04-01-2020,Welding Apprentice,4,, Hiatus , Completed Initial credential Welding Foundations 
Simon Fraser University,06-01-2020,Bachelor of Arts,4," $20,218.00 ", Hiatus ,
Thompson Rivers University,09-09-2019,Refrigeration & Air Conditioning Cert,1," $12,521.00 ", Hiatus ,
University of the Fraser Valley,04-05-2020,Bachelor of Science in Nursing ,," $24,122.52 ", Never Attended ,
University of Victoria,01-01-2020,Social Sciences Diploma,,, Attending ,
Nicola Valley Institute of Technology,18-10-2019,Aboriginal Governance and Leadership Certificate,,, Hiatus ,
University of British Columbia,05-09-2018,Bachelor of Arts,4," $15,000.00 ", Completed  ,
Douglas College,01-01-2020,Criminology Diploma,2," $12,000.00 ", Hiatus ,
University of the Fraser Valley,01-09-2019,Liberal Arts Diploma,2," $16,601.16 ", Hiatus ,
University of the Fraser Valley,01-01-2020,Qualifying Studies,1," $8,005.00 ", Attending ,
Langara College,01-05-2020,Dental Reception,," $1,527.00 ", Completed  ,
Okanagan College,01-02-2020,,,, Never Attended ,
College of New Caledonia,,,,, Never Attended ,
College of the Rockies,03-09-2019,Heavy Mechanical,,, Completed  ,
Selkirk College,01-09-2020,Office Administration & tech,," $3,858.52 ",,
North Island College,03-01-2020,Business Administration Certificate,," $3,590.00 ", Never Attended ,
College of New Caledonia,03-09-2019,Auto Foundations,,, Completed  , Completed Initial credential Auto Foundations - Tool deposit refund 
University of the Fraser Valley,02-09-2020,Qualifying Studies for Degree,4," $33,438.24 ", Hiatus ,
BCIT,01-01-2020,Diploma of Trades: Metal Fabricator Apprentice,1," $2,050.00 ", Hiatus , Withdrew 
BCIT,07-09-2021,Specialty Nursing Courses,1," $1,755.00 ", Hiatus ,
University of Victoria,01-01-2020,Bachelor of Science in Nursing,,, Attending ,
North Island College,06-01-2020,University Studies,," $1,364.33 ", Hiatus ,
Nicola Valley Institute of Technology,,Associate of Arts,,, Hiatus ,
Okanagan College,01-01-2020,Continuing Studies - Non-certificate,1-3 days,, Completed  , No academic or vocational admission 
Selkirk College,01-09-2020,Associate of Arts,2," $5,717.96 ",,
Okanagan College,01-01-2020,Associate of Arts,2," $8,934.00 ", Never Attended ,
Thompson Rivers University,01-01-2020,Bachelor of Arts,4," $24,100.00 ", Attending ,
Douglas College,06-01-2020,Associate of Arts ,2," $12,000.00 ", Attending ,
Thompson Rivers University,26-09-2019,Bachelor of Arts,4," $24,000.00 ", Hiatus ,
University of the Fraser Valley,06-01-2020,Qualifying Studies,1," $8,005.00 ", Attending ,
Vancouver Community College,01-12-2021,Train the Trainer Certificate,1," $1,535.00 ",,
Thompson Rivers University,01-01-2020,Bachelor of Arts,4," $24,000.00 ", Attending ,
College of New Caledonia,,,,, Never Attended ,
Okanagan College,02-04-2020,Refrigeration/Air Conditioning Mechanic,," $3,807.80 ", Completed  ,
BCIT,01-01-2020,Diploma: Automotive Technician Apprentice,4 level -1/yr," $2,500.00 ", Hiatus ,
Thompson Rivers University,,Bachelor of Arts,,,,
University of the Fraser Valley,01-01-2020,Bachelor of Arts,4," $21,609.00 ", Hiatus , Withdrew last Winter. 
Nicola Valley Institute of Technology,01-09-2019,Bachelor of Social Work,2," $7,800.00 ", Hiatus ," Last attended date: May 20, 2020 "
Douglas College,01-01-2020,Associate of Arts,2," $12,000.00 ", Hiatus ,
Douglas College,06-01-2020,Academic Foundations,1," $2,903.00 ", Hiatus ,
Kwantlen Polytechnic University,06-09-2019,Farrier Program,9 months," $7,000.00 ", Completed  ,
University of the Fraser Valley,06-01-2020,General Studies,," $10,804.50 ", Attending ,
Simon Fraser University,10-09-2020,Indigenous University Prep,1," $5,501.00 ",,
University of the Fraser Valley,08-09-2019,Criminal Justice Diploma,," $15,619.98 ", Never Attended , Transferred out 
Simon Fraser University,08-09-2020,Indigenous University Prep,2,,,
Douglas College,01-01-2020,General Studies Diploma,2," $12,000.00 ", Hiatus ,
University of British Columbia Okanagan,06-01-2020,Bachelor of Science,4," $3,514.00 ", Hiatus , Other 
Justice Institute of British Columbia,01-04-2020,Emergency Medical Responder,1," $1,684.00 ", Completed  ,
Vancouver Community College,01-09-2021,Medical Lab Assistant,1," $3,500.00 ", Never Attended ,
Simon Fraser University,09-09-2020,Bachelor of Arts,4," $26,704.00 ",,
Langara College,06-01-2020,Associate of Arts,2," $9,150.00 ", Attending ,
Vancouver Community College,01-01-2022,Esthetics,1," $12,468.00 ",,
North Island College,06-01-2020,Practical Nursing,3," $16,000.00 ", Attending ,
Sheet Metal Workers Training Centre Society,04-08-2019,,,,,
University of Northen BC,04-09-2019,Psychology,4," $24,565.00 ", Attending ,
Okanagan College,06-01-2020,Welder Foundation,1," $5,506.00 ", Completed  ,
Thompson Rivers University,06-01-2020,Bachelor of Science,4," $23,648.00 ", Attending ,
Douglas College,01-01-2020,General Studies,2," $12,000.00 ", Hiatus ,
Camosun College,01-09-2020,College Prep/Office Administration,1,, Attending ,
BCIT,06-01-2020,Associate Certificate: Trades Discovery,16 weeks," $2,687.44 ", Attending ,
Simon Fraser University,2019-0-03,Bachelor of Arts,4," $26,160.00 ",,
Vancouver Community College,10-09-2020,Fashion Arts & Design,2," $12,500.00 ", Attending ,
Simon Fraser University,11-05-2020,Bachelor of Arts in Criminology,4," $26,160.00 ",,
North Island College,06-01-2020,Upgrading & University Transfer,2," $7,500.00 ",,
Simon Fraser University,08-09-2021,IUPP,1," $5,625.00 ",,
University of British Columbia,06-09-2022,Bachelor of Midwifery,3," $20,000.00 ", Attending ,
Thompson Rivers University,06-01-2020,Bachelor of Arts,4," $23,648.00 ", Attending ,
University of the Fraser Valley,06-01-2020,Qualifying Studies for Nursing,4," $33,438.24 ", Attending ,
Douglas College,06-01-2020,General Studies,2," $1,734.77 ", Hiatus ,
Okanagan College,04-01-2020,ABE Findamentals Certificate/Health Care Assistant,," $3,604.00 ", Attending , Not billed-ABE 
Douglas College,07-09-2021,Academic Foundation,1," $5,601.00 ", Attending ,
Nicola Valley Institute of Technology,06-01-2020,Associate of Arts,2," $5,600.00 ", Hiatus ," Last attended date: June 9, 2020 "
Vancouver Community College,03-02-2020,Dental Reception Coordinator,1," $3,500.00 ", Hiatus ,
Vancouver Community College,01-04-2019,,,,, Not registered yet. 
Douglas College,06-01-2020,General Studies,2," $12,000.00 ", Hiatus ,
Langara College,01-09-2020,Kinesiology Diploma,2," $9,335.00 ", Attending ,
Okanagan College,06-01-2020,Associate of Science,2," $9,600.00 ", Hiatus , Last attended Winter 2020 
Langara College,04-05-2020,Diploma in Fine Arts ,2," $7,108.80 ", Hiatus ,
University of Northen BC,06-01-2020,Arts & Science,4," $25,964.00 ", Attending ,
Okanagan College,01-09-2021,Esthetics and Nail Certificate,1," $10,740.00 ", Attending , Welder foundation completed 
BCIT,06-01-2020,Ironworker Foundation Certificate,0.5," $3,926.73 ", Completed  ,
Okanagan College,,Welder Foundation,,, Completed  ,
BCIT,16-03-2020,Electrical Apprentice,10 weeks," $1,560.20 ", Hiatus ,
Coast Mountain College,10-02-2020,Harmonized Carpentry Foundation,24 weeks," $4,430.00 ", Completed  ,
Simon Fraser University,01-09-2019,,,,,
Vancouver Community College,14-01-2020,Make-Up Artisitry Program,1," $4,000.00 ", Hiatus ,
Vancouver Island University,09-03-2020,Hairstylist Level 2 Apprenticeship,13 weeks, $618.00 , Never Attended ,
Langara College,09-01-2020,General Arts Diploma,2," $9,150.00 ", Hiatus ,
Justice Insitute of British Columbia,20-09-2021,Emergency Medical Responder & Primary Care Paramedic,2," $7,065.00 ", Attending ,
Vancouver Island University,06-01-2020,Unclassified,4," $25,000.00 ", Hiatus , Est. cost assumes move to degree program 
Camosun College,06-01-2020,Bachelor of Science in Nursing ,4," $11,900.00 ", Completed  ,
University of Victoria,01-01-2021,Bachelor of Science in Nursing,4,, Attending ,
Camosun College,01-01-2020,Indigenous College Prep,,, Hiatus ,
Thompson Rivers University,06-01-2020,Bachelor of Business Admin,4," $22,260.00 ", Hiatus ,
Coast Mountain College,06-01-2020,Associate of Arts,2," $12,323.00 ", Hiatus ,
Kwantlen Polytechnic University,03-01-2020,Bachelor of  Horticulture Science ,4," $25,000.00 ", Hiatus ,
University of Victoria,,Bachelor of Science,,, Attending ,
Nicola Valley Institute of Technology,04-01-2021,College Readiness,1, $300.00 , Hiatus , Withdrew from Culinary Arts and switched to upgrading 
Thompson Rivers University,01-07-2020,Bachelor of Arts in Psychology,4," $3,668.00 ",,
Okanagan College,01-09-2020,Automotive Service Technician ,33 weeks," $4,888.00 ", Never Attended ,
University of British Columbia Okanagan,01-09-2021,Bachelor of Science ,4," $27,000.00 ", Hiatus ,
Native Education College,03-09-2019,Family & Community Counseling Certificate,2," $8,025.00 ", Attending ,
University of Victoria,04-05-2020,Bachelor of Arts,4," $27,624.00 ", Attending ,
Camosun College,06-01-2020,Health Care Assistant,26 weeks," $3,286.00 ", Completed  ,
College of the Rockies,08-09-2020,Bachelor of Business Management,4," $17,000.00 ", Hiatus ,
Camosun College,06-01-2020,Health Care Assistant,26 weeks," $3,244.00 ", Completed  ,
University of the Fraser Valley,02-09-2020,Social Services Diploma,2," $14,272.00 ", Attending ,
North Island College,06-01-2020,Culinary Diploma,18 months," $9,000.00 ", Hiatus ,
University of British Columbia-Okanagan,06-01-2020,Bachelor of Arts,4," $22,000.00 ", Attending ,
Nicola Valley Institute of Technology,04-09-2019,Associate of Arts in Criminology,2," $2,862.90 ", Hiatus ,
Simon Fraser University,09-09-2020,Bachelor of Arts in Criminology,4," $13,352.00 ", Attending ,
Thompson Rivers University,01-07-2020,Heavy Mechanical Foundations,1," $4,819.00 ", Completed  ,
Justice Institute of British Columbia,01-04-2020,Bylaw Endorsement ,7 weeks," $1,344.35 ", Hiatus ,
Thompson Rivers University,01-09-2020,Bachelor of Arts, 4 ," $23,648.00 ", Never Attended ,
College of New Caledonia,03-03-2020,Welder Level B,17 weeks," $2,602.00 ", Hiatus ,
Thompson Rivers University,06-01-2020,Bachelor of Arts,4," $23,648.00 ", Attending ,
Thompson Rivers University,06-01-2020,Cook Apprentice,1.5," $2,514.00 ", Hiatus ,
Nicola Valley Institute of Technology,01-09-2020,Bachelor of Social Work,2," $7,800.00 ", Attending ,
Thompson Rivers University,26-10-2020,Management Skills for Supervisors,1," $2,300.00 ",,
Langara College,06-01-2020,Bachelor of Science in Nursing ,4," $18,420.00 ", Attending ,
University of the Fraser Valley,30-03-2020,Powerline Technician Certificate,," $11,000.00 ", Hiatus ,
Coast Mountain College,06-01-2020,Associate Degree,2," $7,151.00 ", Attending ,
Justice Institute of British Columbia,,Emergency Reposnder Course,," $1,684.16 ", Completed  ,
Camosun College,,Photography,, $385.00 , Never Attended , Class cancelled 
Kwantlen Polytechnic University,03-01-2020,Accounting,4," $23,500.00 ", Attending ,
Kwantlen Polytechnic University,03-01-2020,Bachelor of Business Admnistration in Accounting,4," $23,500.00 ", Attending ,
Douglas College,08-09-2020,Youth Justice Diploma,2," $10,909.00 ", Attending ,
Simon Fraser University,09-09-2020,Bachelor of Arts in Criminology,4," $26,160.00 ", Attending ,
Thompson Rivers University,09-09-2020,Bachelor of Business Administration,4," $21,520.00 ",,
Kwantlen Polytechnic University,05-01-2020,Science & Horticulture,4," $23,408.00 ", Never Attended ,
BCIT,08-09-2020,Business Management,2," $12,000.00 ", Attending ,
Douglas College,01-05-2020,Criminology Certificate, 1 ," $1,734.77 ", Hiatus ,
Thompson Rivers University,23-02-2020,Health Care Assistant Certificate,1," $4,410.56 ", Hiatus ,
University of the Fraser Valley,01-09-2020,Electronics Technician Certificate,," $5,263.00 ", Never Attended ,
Vancouver Community College,04-05-2020,Hairstylist,1," $10,174.00 ", Never Attended ,
Douglas College,01-01-2020,Bachelor in Applied Criminology,2," $6,919.08 ", Hiatus ,
Justice Insitute of British Columbia,,Bylayw Certificate,,, Completed  ,
Northern Lights College,08-09-2020,Heavy Mechanical Trades Certificate,1," $4,000.56 ", Never Attended ,
University of the Fraser Valley,01-09-2020,Bachelor of Social Work,4," $20,826.64 ", Never Attended ,
Thompson Rivers University,06-01-2020,Bachelor of Arts, 4 ," $23,648.00 ", Attending ,
University of British Columbia,07-09-2021,Bachelor of Arts,4," $26,000.00 ", Attending ,
Vancouver Community College,01-05-2020,University Transfer,1," $1,698.00 ", Completed  ,
Vancouver Island University,03-09-2019,Recreation and Sport Management,2," $14,000.00 ", Attending ,
Langara College,04-05-2020,Foundations in Health Studies,1," $2,400.00 ", Hiatus ,
Okanagan College,04-05-2020,Medical Device Reprocessing Certificate,1," $5,056.00 ", Completed  ,
Vancouver Island University,05-01-2021,Automotive Apprenticeship,1," $2,500.00 ", Attending , Level 3 Start Winter '22 
Thompson Rivers University,14-09-2021,Bachelor of Computing Science,4," $22,744.00 ", Attending ,
University of British Columbia,04-09-2020,Bachelor of Science in Applied Biology,4," $30,000.00 ", Hiatus ,
Kwantlen Polytechnic University,03-01-2020,Business,4," $23,500.00 ", Attending ,
Thompson Rivers University,01-04-2020,Social Service Worker Certificate, 1 ," $7,152.02 ", Hiatus ,
Coast Mountain College,03-02-2020,Harmonized Electrical Foundations,24 weeks," $2,330.12 ", Hiatus ," Student withdrawn for non-attendance on May 27, 2019 "
North Island College,31-03-2020,Early Childhood Care & Learning,43 weeks," $4,095.00 ", Hiatus , Withdrawal Summer '21 
Vancouver Island University,08-09-2020,Professional Esthetics,1," $14,000.00 ", Completed  ,
Okanagan College,05-10-2020,Culinary Arts Certificate,1," $5,866.00 ", Completed  ,
Douglas College,04-05-2020,General Studies,17 weeks," $1,734.77 ", Hiatus ,
Camosun College,01-05-2020,University Transfer,2," $9,200.00 ", Hiatus ,
University of Victoria,01-01-2021,,,, Attending ,
Vancouver Island University,31-08-2020,Professional Cook Level 1 & 2,1," $7,720.00 ", Hiatus , Withdrew Sept 2020 
College of New Caledonia,11-05-2020,Social Service Work Applied Diploma, 2 ," $7,866.00 ", Attending ,
Nicola Valley Institute of Technology,08-09-2020,Aboriginal Early Childhood Education Certificate,1," $5,078.00 ", Hiatus , Missed On Summer Invoice 
Nicola Valley Institute of Technology,08-09-2020,Community and Public Safety Professional Certificate,1," $4,913.10 ", Completed  ,
University of British Columbia Okanagan,08-09-2020,Bachelor of Science,4," $30,000.00 ", Attending ,
Thompson Rivers University,22-06-2020,Bachelor of Business Administration, 4 ," $21,088.00 ",,
University of Victoria,01-09-2020,Bachelor of Engineering,4," $38,219.20 ", Attending ,
University of the Fraser Valley,01-09-2020,Early Childhood Education Certificate,1," $8,005.00 ", Hiatus ,
Thompson Rivers University,27-07-2020,Heavy Mechanical Foundations, 1 ," $5,842.00 ", Hiatus ,
University of British Columbia,04-09-2020,Bachelor of Arts,4," $35,887.00 ", Attending ,
Camosun College,01-09-2020,Bachelor of Science in Nursing,4," $20,500.00 ", Never Attended , Application withdrawn July/20 
University of British Columbia-Okanagan,06-09-2022,Bachelor of Science in Nursing,2," $12,500.00 ",, Transfer 
Vancouver Island University,07-09-2021,Bachelor of Arts,4," $25,000.00 ", Attending ,
College of the Rockies,,,,, Hiatus , withdrew and not returned so far 
Northern Lights College,01-09-2020,Early Childhood Education Certificate,2," $8,791.52 ", Attending ,
Kwantlen Polytechnic University,01-09-2020,Bachelor of Fashion Design and Technology,4," $25,000.00 ", Attending ,
Douglas College,03-01-1900,Bachelor of Arts in Child and Youth Care ,4," $16,168.00 ", Attending ,
Vancouver Island University,04-08-2020,Welding Level B,1," $3,280.00 ", Completed  ,
Camosun College,01-09-2020,Massage Therapy,2," $34,400.00 ", Never Attended ,
Douglas College,20-04-2020,Criminology Diploma,2," $6,936.00 ", Attending ,
Douglas College,04-05-2020,Associate of Arts,2," $6,939.08 ", Hiatus ,
Vancouver Island University,01-09-2021,Hairstylist Foundtion Certificate,1," $7,000.00 ", Never Attended ,
University of the Fraser Valley,08-09-2020,Bachelor of Science,4," $22,152.00 ", Attending ,
Thompson Rivers University,02-09-2020,Bachelor of Arts,4," $24,000.00 ",,
University of British Columbia Okanagan,08-09-2020,Bachelor of Science,4," $27,000.00 ", Attending ,
University of the Fraser Valley,13-09-2021,Bachelor of Arts,4," $22,430.00 ", Attending ,
Thompson Rivers University,01-09-2019,,,,,
Thompson Rivers University,01-05-2020,Bachelor of Arts,4," $24,100.00 ", Hiatus ,
Selkirk College,08-09-2020,Associate of Arts,2," $10,103.80 ", Attending ,
Kwantlen Polytechnic University,08-09-2020,Bachelor in Computer Information Systems,4," $23,000.00 ", Hiatus ,
Douglas College,08-09-2020,Hospitality Management Diploma,2," $7,936.00 ", Attending ,
BCIT,01-09-2020,Automotive Technician Foundation Certificate,1," $4,682.02 ", Completed  ,
Vancouver Island University,08-09-2020,Bachelor of Arts,4," $25,000.00 ", Attending ,
Okanagan College,08-09-2020,Welder Foundation,1," $4,206.00 ", Completed  ,
Capilano University,01-09-2020,Bachelor of Design in Visual Communication,4," $49,931.00 ", Attending ,
Capilano University,01-09-2020,Bachelor of Arts,4," $24,384.83 ", Hiatus ,
University of British Columbia Okanagan,08-09-2020,Bachelor of Arts,4," $27,000.00 ", Attending ,
University of British Columbia,09-09-2020,Bachelor of Arts,4," $27,000.00 ", Attending ,
Douglas College,08-09-2020,Bachelor of Child and Youth Care,4," $17,872.00 ", Attending ,
Vancouver Community College,07-09-2022,Dental Hygiene,2," $23,250.00 ", Attending ,
University of British Columbia Okanagan,08-09-2020,Bachelor of Fine Arts,4," $27,000.00 ", Hiatus ,
Capilano University,01-09-2020,Applied Behaviour Analysis Baccalaureate,4," $31,187.02 ", Attending ,
Langara College,01-09-2020,Arts and Science Diploma in Social Science,2," $9,335.00 ", Attending ,
Okanagan College,08-09-2020,Esthetics and Nail Certificate,1," $10,530.00 ", Completed  ,
University of Victoria,01-09-2020,Bachelor of Music,4," $26,185.00 ", Attending ,
Capilano University,01-09-2020,Applied Behaviour Analysis Baccalaureate,4," $31,187.02 ", Attending ,
University of Victoria,08-09-2020,Bachelor of Engineering,4," $31,722.00 ", Attending ,
Thompson Rivers University,04-08-2020,Welding Foundation,1," $4,720.00 ", Never Attended ,
Camosun College,01-09-2020,Arts and Science Studies,2," $12,000.00 ", Hiatus , Withdrew 
College of the Rockies,01-09-2020,Hairstylist Certificate,1," $5,975.14 ", Completed  ,
BCIT,08-09-2020,Sustainable Event Management,1," $6,500.00 ", Attending ,
Douglas College,08-09-2020,General Studies Diploma,2," $7,940.00 ", Attending ,
Thompson Rivers University,26-10-2020,Undeclared,4," $3,240.00 ", Hiatus ,
Camosun College,08-09-2020,University Transfer,2," $12,000.00 ", Attending ,
Vancouver Community College,01-09-2020,Dental Tech Science,2," $21,380.00 ", Hiatus , Withdrawn 
Douglas College,08-09-2020,General Studies Diploma,2," $7,936.00 ", Attending ,
Justice Insitute of British Columbia,07-08-2020,Emergency Medical Response/Primary Care Paramedic Program,2," $7,106.00 ", Attending , Completed EMR. 
Thompson Rivers University,09-09-2020,Bachelor of Computing Science,4," $23,850.00 ", Hiatus ,
Justice Institute of British Columbia,06-09-2022,Health Sciences Diploma,2," $7,447.84 ", Attending ,   
Thompson Rivers University,01-01-2021,Bachelor of Science,4," $24,160.00 ", Hiatus ,
Douglas College,08-09-2020,Associate of Science,2," $12,000.00 ", Attending ,
Simon Fraser University,08-09-2020,Professional Development Program,2," $13,352.00 ", Attending ,
College of New Caledonia,08-09-2020,Welder Foundations, 1 ," $3,877.00 ", Attending ,
College of the Rockies,08-09-2020,Hairstylist Certificate,1," $8,094.59 ", Completed  ,
BCIT,06-04-2021,Graphic Design Associate Certificate,1," $6,730.00 ", Completed  ,
Douglas College,08-09-2020,Cashier Training,1," $2,017.00 ", Completed  ,
University of the Fraser Valley,01-09-2020,Veterinary Administrative Assistant,," $7,495.00 ", Completed  ,
Capilano University,08-09-2020,Bachelor of Arts,2," $17,000.00 ", Hiatus ,
Simon Fraser University,09-09-2020,Bachelor of Arts,4," $16,690.00 ", Attending ,
Camosun College,08-09-2020,College Prep,1," $14,000.00 ", Hiatus ,
Coast Mountain College,01-01-2022,Associate of Arts,2," $3,575.00 ",,
North Island College,10-01-2022,University Transfer,," $21,000.00 ",,
College of New Caledonia,06-09-2022,University Studies,2," $8,212.00 ", Attending ,
Douglas College,08-09-2020,Youth Justice Diploma,2," $12,000.00 ", Attending ,
University of the Fraser Valley,08-09-2020,Bachelor of Fine Arts,4," $23,765.00 ", Attending ,
Kwantlen Polytechnic University,08-09-2020,Business Administration,4," $28,000.00 ", Attending ,
Vancouver Island University,08-09-2020,Bachelor of Arts,4," $25,000.00 ", Attending ,
North Island College,01-09-2020,University Transfer,2," $6,000.00 ", Attending ,
Vancouver Island University,01-09-2021,Bachelor of Arts,4," $25,000.00 ", Attending ,
Vancouver Island University,08-09-2015,Bachelor of Arts,4," $25,000.00 ", Attending ,
University of the Fraser Valley,08-09-2020,Bachelor of Business Administration,4," $23,765.00 ", Attending ,
College of New Caledonia,08-09-2020,University Studies, 2 ," $3,685.00 ", Hiatus ,
Thompson Rivers University,07-09-2021,Bachelor of Arts,4," $20,000.00 ", Attending ,
Vancouver Community College,04-08-2020,Professional Cook 2 Advanced,1," $2,244.00 ", Completed  ,
Vancouver Island University,01-09-2020,Professional Cook 1 & 2,1," $7,785.00 ", Hiatus , Withdrew Jan 2020 
Langara College,08-09-2020,Applied Science for Engineering Diploma,2," $10,430.00 ", Attending ,
Thompson Rivers University,08-09-2021,Bachelor of Business Administration, 4 ," $21,968.00 ",,
Thompson Rivers University,08-09-2021,Bachelor of Tourism Management, 4 ," $21,960.00 ",,
Thompson Rivers University,07-09-2021,Accounting Tech Diploma, 2 ," $10,982.00 ",,
Vancouver Island University,08-09-2020,Bachelor of Arts in Child and Youth Care,4," $25,000.00 ", Hiatus ,
University of Victoria,01-09-2020,Bachelor of Arts in Social Science,4," $32,985.00 ", Attending ,
Douglas College,08-09-2020,General studies Diploma,2," $12,000.00 ", Attending ,
Camosun College,08-09-2020,University Transfer,2," $12,000.00 ", Attending ,
University of British Columbia,08-09-2020,Bachelor of Arts,4," $27,000.00 ", Attending ,
Douglas College,08-09-2020,Academic Foundations Certificate,1," $4,032.00 ", Hiatus ,
University of British Columbia,01-09-2021,Bachelor of Arts,4," $27,000.00 ", Attending ,
Coast Mountain College,28-09-2020,Welding Foundation,28 weeks," $3,434.00 ", Completed  ,
University of the Fraser Valley,14-09-2020,Horticulture Crop Production and Protection Certificate ,1," $7,534.00 ", Attending ,
Thompson Rivers University,07-09-2021,Open Learning ,,, Hiatus ,
University of Victoria,09-09-2020,Bachelor of Science,4," $27,387.00 ", Attending ,
Justice Insitute of British Columbia,01-01-2021,"Bylayw, Compliance, Enforcement and Investigation & Basic Security Training",1," $2,716.00 ", Completed  ,
BCIT,08-09-2020,Human Resource Management Certificate,1," $8,000.00 ", Completed  ,
Kwantlen Polytechnic University,01-09-2021,Bachelor of Business Administration Human Resource Management, 4 ," $33,348.00 ", Attending ,
University of the Fraser Valley,14-09-2020,Associate of Arts Diploma/Bachelor of Arts ,2," $9,812.00 ", Attending ,
Capilano University,24-08-2020,Outdoor Recreation Management,2," $15,259.00 ", Attending ,
Kwantlen Polytechnic University,05-01-2021,Bachelor of Arts in General Studies,4," $32,000.00 ", Hiatus ,
Coast Mountain College,01-03-2021,University Credit Program,2," $12,950.30 ", Hiatus ,
University of British Columbia Okanagan,08-09-2020,Bachelor of Arts,4," $27,000.00 ", Attending , Exception on age approved by TN 
Thompson Rivers University,01-12-2021,Bachelor of Computing Science, 4 ," $32,000.00 ",,
Douglas College,08-09-2020,Associate of Arts,2," $8,076.00 ", Attending ,
Selkirk College,08-09-2020,Human Services Diploma/Education Assistant and Community Support Worker,2," $4,730.00 ", Attending , Completed Education Assistant and starting Year 2 Child & Youth Care 
North Island College,08-09-2020,University Studies,2," $7,350.00 ", Attending ,
University of the Fraser Valley,04-09-2020,Bachelor of Arts in Child and Youth Care,4," $23,765.00 ", Hiatus ,
Camosun College,08-09-2020,Arts and Sciences,2,, Attending ,
North Island College,14-09-2020,Health Care Assistant,1," $3,875.00 ", Attending ,
Thompson Rivers University,09-09-2020,Bachelor of Business Administration,4," $21,528.00 ", Never Attended ,
Thompson Rivers University,03-09-2017,,,,,
Douglas College,08-09-2020,Youth Justice Worker Diploma,2," $8,077.00 ", Attending ,
Vancouver Island University,08-09-2020,Carpentry,1," $5,000.00 ", Hiatus , Withdrew F20 
Capilano University,01-09-2020,Bachelor of Communication ,4," $24,333.00 ", Hiatus ,
Vancouver Island University,16-11-2020,Electrician Certificate,1," $4,000.00 ", Completed  ,
Vancouver Island University,08-09-2020,Bachelor of Arts in Kinesiology,4," $27,720.00 ", Hiatus , Withdrew F20 
Okanagan College,08-09-2020,Associate of Arts,2," $8,984.00 ", Attending ,
University of British Columbia,08-09-2020,Bachelor of Education,1," $12,740.00 ", Attending ,
Thompson Rivers University,09-09-2020,Police and Justice Studies,2," $16,631.00 ",, Not eligible until Winter '21 
University of Victoria,01-09-2020,Bachelor of Arts in Social Science,4," $26,668.00 ", Attending ,
Thompson Rivers University,01-01-2019,Welder Foundations,,,,
Langara College,08-09-2020,Kinesiology Diploma,2," $9,340.00 ", Hiatus ,
